RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021
394913,1,"New York, NY",Msa,NY,517967,523000,534333,544667,554667,560000,560000,554833,549833,549833,550000,549667,549333,549333,554667,563333,573300,578267,578267,574633,573000,574333,577667,579000,577667,579633,586300,594300,599000,602333,612633,629300,642633,649333,651667,655333,661667,668000,673000,675000,675000,666667,658000,643000,636000
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,798667,802667,818000,835000,848300,849633,841300,824000,801000,784333,771633,761600,752933,749633,759833,776796,802065,821899,837936,845667,845666,845962,845962,848963,849333,865892,882892,886225,881667,891333,924333,954617,964950,970283,975000,988000,995667,998667,1005667,1006333,1006666,999666,991333,971333,946667
394463,3,"Chicago, IL",Msa,IL,301000,305967,319300,335967,345967,347967,343600,336900,330233,324900,318300,309933,303267,306600,319633,336000,345667,347667,344333,337967,331300,324933,319590,311257,306290,309967,319967,327967,331333,336333,343300,348300,349966,349666,346000,339333,331333,331667,338300,346633,352967,354500,354467,348100,339933
394514,4,"Dallas-Fort Worth, TX",Msa,TX,342000,345333,351663,359830,366163,366000,359467,351133,344600,341267,339600,337967,335500,335800,340767,348267,354933,356510,354810,349810,344933,341633,339997,338330,335306,334639,336306,339297,343133,348133,354800,358267,359933,359633,357848,354515,351515,352625,357625,365958,375000,383333,390000,393333,395842
394974,5,"Philadelphia, PA",Msa,PA,252630,249633,253433,260400,269567,275800,279133,278267,275933,273967,271330,266290,258290,254260,257967,267633,279200,287833,293167,293633,293667,294333,294000,290667,286500,286467,289800,294633,301333,311333,323333,333000,336333,337966,334966,331600,324933,321567,321567,325767,330800,334833,332333,327967,322300
394692,6,"Houston, TX",Msa,TX,317020,319337,322701,327464,331054,332413,329282,324387,318148,314755,311491,309859,308391,309696,312960,317855,321738,323044,321379,317740,313496,310719,308513,306394,303982,303496,306266,308812,313217,317739,323678,328541,332997,336673,338747,337630,335627,334797,339497,346838,357335,366002,372627,373297,371977
395209,7,"Washington, DC",Msa,DC,431491,431161,441289,452445,464445,474667,479667,476333,466663,461630,456597,449900,443233,443267,454967,471667,488000,496000,495667,489300,484633,483300,485000,483300,481633,486600,501600,513233,522933,531300,543000,549967,546633,539933,529967,521633,513663,510297,508630,514967,520000,526633,524933,520690,515890
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,395000,395000,396333,397796,399429,399762,399933,399633,399300,399000,398267,396933,395600,395000,396333,397667,399333,399666,402666,404333,404333,401667,400863,402497,402497,401633,402157,401823,401490,399000,399333,402167,405133,408133,407300,404934,401901,400068,401467,409833,424667,440767,455433,465733,474633
394347,9,"Atlanta, GA",Msa,GA,310075,314933,323600,335300,344667,349633,344933,337933,329633,324967,320767,317400,313733,313267,316966,326666,338000,344333,344617,339917,334883,330267,326967,324958,323622,323622,325663,327252,330585,336850,344598,351265,354667,356333,354667,351633,349933,351843,359877,376243,391000,401333,403333,403333,401667
394404,10,"Boston, MA",Msa,MA,541267,543267,563300,583000,597667,595967,579600,556600,539633,536000,535967,531300,528267,533300,549967,571665,589665,596332,594633,586633,579933,574966,574967,574600,574600,582600,597667,605967,614600,624267,640966,649330,649963,656630,662967,664967,664633,671600,682933,691600,694933,697967,692633,676000,666000
