Region,RegionName,StateName,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
Msa,"Aberdeen, WA",WA,,,9/30/2022,18.3
Msa,"Abilene, TX",TX,,,9/30/2022,11.8
Msa,"Ada, OK",OK,,,9/30/2022,13.5
Msa,"Adrian, MI",MI,,,9/30/2022,12.6
Msa,"Akron, OH",OH,,,9/30/2022,13
Msa,"Alamogordo, NM",NM,,,9/30/2022,14
Msa,"Albany, NY",NY,,,9/30/2022,12
Msa,"Albany, OR",OR,,,9/30/2022,16.5
Msa,"Albemarle, NC",NC,,,9/30/2022,10.8
Msa,"Albert Lea, MN",MN,,,9/30/2022,14.9
Msa,"Albertville, AL",AL,,,9/30/2022,16.7
Msa,"Albuquerque, NM",NM,,,9/30/2022,16.4
Msa,"Alexandria, LA",LA,,,9/30/2022,6.4
Msa,"Alexandria, MN",MN,,,9/30/2022,13.2
Msa,"Alice, TX",TX,,,9/30/2022,12
Msa,"Allentown, PA",PA,,,9/30/2022,15.8
Msa,"Altoona, PA",PA,,,9/30/2022,8.9
Msa,"Altus, OK",OK,,,9/30/2022,12.4
Msa,"Amarillo, TX",TX,,,9/30/2022,17.3
Msa,"Ames, IA",IA,,,9/30/2022,11.9
Msa,"Amsterdam, NY",NY,,,9/30/2022,11.7
Msa,"Anchorage, AK",AK,,,9/30/2022,8.1
Msa,"Ann Arbor, MI",MI,,,9/30/2022,9.2
Msa,"Anniston, AL",AL,,,9/30/2022,16.7
Msa,"Appleton, WI",WI,,,9/30/2022,13.2
Msa,"Ardmore, OK",OK,,,9/30/2022,13.6
Msa,"Arkadelphia, AR",AR,,,9/30/2022,11
Msa,"Asheville, NC",NC,,,9/30/2022,18.7
Msa,"Ashtabula, OH",OH,,,9/30/2022,12.2
Msa,"Astoria, OR",OR,,,9/30/2022,29.8
Msa,"Athens, GA",GA,,,9/30/2022,13.7
Msa,"Athens, OH",OH,,,9/30/2022,14.6
Msa,"Athens, TN",TN,,,9/30/2022,12
Msa,"Athens, TX",TX,,,9/30/2022,19.7
Msa,"Atlanta, GA",GA,,,9/30/2022,23.9
Msa,"Atlantic City, NJ",NJ,,,9/30/2022,17.8
Msa,"Auburn, AL",AL,,,9/30/2022,12.3
Msa,"Auburn, IN",IN,,,9/30/2022,15.8
Msa,"Auburn, NY",NY,,,9/30/2022,11.5
Msa,"Augusta, GA",GA,,,9/30/2022,14.7
Msa,"Augusta, ME",ME,,,9/30/2022,15.1
Msa,"Austin, MN",MN,,,9/30/2022,13
Msa,"Austin, TX",TX,,,9/30/2022,21.9
Msa,"Bakersfield, CA",CA,,,9/30/2022,19.1
Msa,"Baltimore, MD",MD,,,9/30/2022,10.7
Msa,"Bangor, ME",ME,,,9/30/2022,15.7
Msa,"Baraboo, WI",WI,,,9/30/2022,13.6
Msa,"Bardstown, KY",KY,,,9/30/2022,12.8
Msa,"Barnstable Town, MA",MA,,,9/30/2022,20.2
Msa,"Barre, VT",VT,,,9/30/2022,18.6
Msa,"Bartlesville, OK",OK,,,9/30/2022,11.7
Msa,"Bastrop, LA",LA,,,9/30/2022,8.8
Msa,"Batavia, NY",NY,,,9/30/2022,12
Msa,"Baton Rouge, LA",LA,,,9/30/2022,8.1
Msa,"Battle Creek, MI",MI,,,9/30/2022,15.7
Msa,"Bay City, MI",MI,,,9/30/2022,14
Msa,"Beaumont, TX",TX,,,9/30/2022,9.9
Msa,"Beaver Dam, WI",WI,,,9/30/2022,13.4
Msa,"Beckley, WV",WV,,,9/30/2022,8.8
Msa,"Bellingham, WA",WA,,,9/30/2022,16.8
Msa,"Bend, OR",OR,,,9/30/2022,19.7
Msa,"Bennettsville, SC",SC,,,9/30/2022,13.8
Msa,"Bennington, VT",VT,,,9/30/2022,12.8
Msa,"Berlin, NH",NH,,,9/30/2022,15
Msa,"Big Stone Gap, VA",VA,,,9/30/2022,10.3
Msa,"Billings, MT",MT,,,9/30/2022,13.6
Msa,"Binghamton, NY",NY,,,9/30/2022,15.6
Msa,"Birmingham, AL",AL,,,9/30/2022,13.2
Msa,"Bismarck, ND",ND,,,9/30/2022,8.4
Msa,"Blackfoot, ID",ID,,,9/30/2022,14.3
Msa,"Bloomington, IL",IL,,,9/30/2022,12.4
