RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021
102001,0,United States,Country,,127569,127914,128277,129016,129762,130505,131263,132072,132897,133728,134566,135425,136226,136963,137712,138511,139335,140143,140958,141800,142634,143473,144241,144976,145645,146344,147081,147861,148693,149568,150516,151507,152487,153471,154399,155325,156169,157030,157913,158867,159889,160906,161969,163091,164277,165463,166533,167556,168575,169744,171049,172477,174056,175736,177525,179284,180999,182630,184155,185704,187226,188824,190484,192389,194372,196439,198483,200540,202528,204375,206027,207507,208759,209969,211233,212603,213909,215006,215808,216414,216752,216996,217072,217116,217099,217117,217125,217143,216984,216633,216022,215377,214591,213772,212742,211702,210460,209115,207610,206037,204451,202777,200980,198931,196928,195002,193101,191206,189358,187911,186553,185290,183985,182792,181722,180690,179735,178992,178651,178508,178437,178330,178340,178507,178578,178366,177651,176702,175580,174487,173368,172354,171398,170538,169725,168872,167986,167141,166475,165891,165377,164836,164387,163981,163751,163642,163811,164134,164613,165065,165529,165969,166459,167039,167750,168548,169521,170610,171853,173110,174446,175807,177172,178437,179642,180799,181879,182914,183939,184995,185868,186584,187237,187907,188495,188901,189282,189771,190416,191146,191884,192705,193611,194553,195488,196295,197004,197683,198410,199170,199905,200776,201746,202800,203722,204714,205673,206647,207519,208354,209228,210170,211228,212319,213417,214541,215707,216952,218143,219285,220284,221286,222382,223590,224859,226159,227454,228827,230163,231484,232704,233820,234855,235835,236814,237781,238758,239753,240775,241718,242529,243230,243877,244480,245033,245593,246228,246943,247680,248510,249497,250644,251933,253157,254006,254714,255816,257737,260253,263080,266113,269165,272132,275247,278593,282335,286913,292304,298069,303296,308220
394913,1,"New York, NY",Msa,NY,225438,226785,227997,230383,232604,234969,237454,240026,242606,245159,247613,249910,252122,254555,256934,259418,261773,264319,266796,269475,272188,275180,277937,280597,283283,285900,288448,290906,293506,296454,299629,303552,307660,311762,315400,319080,322784,326589,330669,334467,338342,342056,345984,349766,353211,356423,359423,362349,365636,368914,372425,375807,379849,384170,388960,393738,398693,403604,408237,412478,416485,420454,424589,429530,434801,439996,444776,449579,454475,459491,463905,468247,471953,475840,478906,481740,484130,486459,487927,488375,487829,486464,484738,482858,481193,480037,480095,479888,479663,478046,476192,474344,472354,471097,469610,468188,466849,465355,463322,461090,457744,454712,451288,448293,445054,441497,437802,434377,430707,427236,423889,420620,417963,415137,412582,409720,407590,405986,405072,404495,404386,404679,404497,404451,404144,404730,405140,405193,404420,402902,401038,398901,397533,396441,395940,394780,393548,391729,390069,388375,386761,385107,383302,381753,380322,379024,377954,377247,376978,376947,376737,376405,376024,375731,375889,376318,376985,377882,378998,380733,382727,384645,386369,387842,389404,391122,392925,394502,396376,398064,400035,401760,403470,404884,405738,406348,406864,407346,407769,408419,409124,410135,410844,412068,413175,414459,415168,415532,415948,416444,417700,418646,419402,420023,421122,422817,424405,425653,426616,427467,428409,429537,430834,432263,434157,435804,437906,439616,442214,444455,446822,448732,450575,452292,453957,455660,457787,460405,463361,466397,468780,470440,471151,471856,473039,474740,476592,478161,479178,480058,480959,481965,482654,482852,482820,482546,482079,481540,481244,481784,482818,484301,485725,487222,488035,488594,489815,492415,496938,502448,508501,514350,519193,523962,528241,532983,538439,545638,553551,561136,567059
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,231209,232014,233247,235592,238105,240479,242910,245461,247891,250113,252170,254337,256001,257805,259727,262406,265034,267457,269935,272519,275198,277854,280168,282603,284611,286977,289795,293379,297456,301615,306850,312302,317852,322809,327730,332593,336688,340469,344653,349330,355159,359770,365789,372077,379534,385684,391663,397635,404664,412369,421099,431142,443458,455585,466335,475207,484140,492927,498727,504693,510011,517414,525185,533172,540857,548074,556569,565617,574912,584354,590735,597333,602918,608375,613340,617490,622715,626655,627901,629333,627563,627715,626491,626536,626695,626393,625299,623370,619899,616694,610738,604287,596377,588889,583239,576144,569801,560243,549801,535766,521401,508155,496133,485514,477984,470499,462419,451669,443998,439833,436856,433825,430811,427133,424598,422932,423035,423706,426602,431405,433343,432828,433094,436045,439791,439032,436444,431736,427616,423513,419790,418465,417751,418151,416389,414617,409698,408493,407301,405318,400909,396805,396357,396582,395962,395223,394546,395060,396142,397817,400413,402454,404850,408520,412884,419331,425666,434880,443909,453765,461876,470340,477717,485479,492002,497186,502922,507980,513664,516141,517116,516404,516429,516570,517416,515976,515517,516003,519189,522969,527562,532500,536363,537774,539685,541648,542842,544255,546272,550582,553946,559765,563677,567950,569734,572962,576093,578998,579748,581376,583635,588193,591924,594753,599207,602267,605625,607194,610375,614144,615699,617400,619601,624373,630304,635487,640399,645573,650599,655148,657699,660565,660997,661875,662325,665582,667436,666925,665764,663614,662272,661841,662809,663827,662891,663616,666330,670631,672643,674454,677430,683527,690489,695613,693703,690803,692544,701716,712332,722297,729787,736123,741232,748830,756443,767598,783132,803315,824025,837548,846526
394463,3,"Chicago, IL",Msa,IL,170602,171004,171525,172568,173673,174768,175979,177338,178743,180125,181380,182607,183756,184773,185926,187060,188457,189749,191055,192376,193710,195136,196320,197391,198304,199368,200651,201729,202936,204042,205524,207038,208502,209848,210811,211975,213097,214459,215686,217089,218296,219399,220420,221734,223214,224614,225854,226963,228309,229590,230903,232376,234001,235884,237585,239319,240780,242314,243845,245593,247204,248920,250592,252511,254507,256541,258408,260182,262092,263965,265578,267127,268630,270119,271630,272935,274375,275195,275892,276356,276717,276869,276950,277217,277801,278357,278721,278663,278344,277845,277187,276492,275391,274315,273287,272042,270784,267722,267124,264410,264282,261069,260088,256666,254576,250851,247873,243897,239516,236464,233239,231960,229677,228292,226689,225241,222751,220553,218392,217747,216620,216326,214803,215388,214610,215372,212828,211425,208672,206950,204010,201486,199199,197426,196303,194714,194021,192556,192123,190742,189587,187119,185697,183420,182323,180170,180021,179697,180156,180032,179214,178384,177411,177762,178153,178465,179201,180283,181274,182580,183823,185917,187598,189668,191278,193463,194444,195792,196537,198042,198823,199289,199965,201071,201951,202164,202495,202751,203210,203744,204240,204878,205780,207067,208035,208083,208048,207871,207891,207883,208112,208968,210056,211880,213224,214195,214659,215029,215658,216110,216570,217077,218105,219609,221473,223172,224971,226264,227231,227376,227454,227615,228268,229173,230317,231756,233362,234721,235523,236008,236462,236897,237309,237609,238258,238762,239539,240159,240695,241438,241904,242413,242472,242399,242359,242290,242286,242178,242186,242399,242882,243491,244022,244150,243982,243952,244966,246635,249528,252392,255201,257432,258905,261216,263319,266367,269105,272894,277086,281183,284285
394514,4,"Dallas-Fort Worth, TX",Msa,TX,130189,130293,130379,130591,130813,130998,131197,131563,132018,132548,133032,133525,133737,133416,133135,133016,133234,133301,133373,133667,133894,134097,134146,134292,134433,134727,135101,135644,136139,136825,137438,138076,138532,138947,139339,139702,139972,140115,140302,140499,140681,140875,140939,141106,141276,141549,141760,141770,142530,144020,146446,148335,149391,149738,149879,150262,150604,150974,151205,151380,152097,152434,152826,152970,153437,153907,154175,154493,154827,154834,154934,154788,154802,155034,155353,155961,156613,157241,157565,157679,157915,158683,159161,159671,159325,158886,158425,158634,159109,159534,159902,160303,160884,161221,161423,161586,160607,159332,157766,157193,156792,156515,156387,155828,154942,153810,152952,152398,151976,152027,152184,152500,152701,152654,152709,152466,152430,152322,152843,153231,153187,152928,152698,153051,153180,153230,152671,151849,150798,149894,148966,148450,148023,147518,147028,146331,145938,145356,145283,145136,145204,145065,144898,144498,144200,144586,145170,145851,146313,146889,147616,148050,148416,148738,149410,150085,150879,151563,152513,153481,154559,155668,156845,157782,158819,159977,161369,162610,163565,164624,165592,166558,167454,168545,169296,170036,170563,171558,172832,174282,175884,177443,179162,180886,182683,184484,186243,187413,188474,189651,191306,193203,194844,196550,198078,199899,201820,203663,205555,206895,208353,209884,211852,213937,215747,217628,219072,220712,222194,223770,225056,226332,227943,229771,231604,233242,235051,237050,239004,240541,241703,242827,243809,245021,246033,247115,248166,249478,251185,252317,252956,253000,253123,253125,253198,253894,255049,255607,255857,255753,256753,257697,258951,259564,259977,260582,261634,263985,266577,269672,272051,274646,276926,280361,284368,289886,296250,303499,311268,319368,326597
394974,5,"Philadelphia, PA",Msa,PA,130108,130544,130806,131458,131984,132580,133127,133709,134356,135026,135635,136174,136720,137377,138131,138913,139638,140401,141279,142249,143283,144221,145218,145990,146813,147590,148584,149696,150834,152115,153463,155176,156987,158791,160297,161832,163257,164698,166032,167574,169293,171173,173205,175318,177453,179377,181171,182677,184162,185599,187255,189123,191402,194018,196963,200108,202908,205241,207182,209357,211731,213786,215732,217774,220494,223551,226761,229813,232597,235340,237718,239940,241542,243128,244682,246538,248388,250098,251483,252377,252833,253062,253036,252847,252512,252465,252976,253552,254403,254760,254979,254474,253822,253376,252981,252484,251507,251142,251024,251174,250460,249217,247461,245643,243695,241856,240228,238742,237358,236404,235995,235767,235226,234353,233168,232076,231023,230599,230551,230637,230816,230852,231037,231246,231576,231716,231254,230086,228375,226483,224598,223099,221979,221297,220679,219718,218331,216697,215223,214035,212866,211793,210815,210087,209326,208611,208318,208301,208242,207757,207063,206388,205979,205653,205572,205493,205791,206113,206667,207280,208184,209124,210021,210590,211206,211647,212218,212562,213153,213722,214096,213945,213960,214131,214415,214282,214106,214029,214206,214534,214856,215113,215467,215971,216249,216347,216392,216657,216865,216891,216868,216882,217140,217515,217798,218211,218638,219398,219907,220444,220880,221578,222298,223306,224395,225322,225998,226580,227216,227700,228034,228519,229180,230204,231237,232377,233301,234518,235991,237497,238480,238988,239460,239993,240790,241525,242581,243589,244627,245378,246242,246899,247531,247757,248190,248640,249115,249530,250036,250917,251845,252847,253350,254379,255193,256515,258139,260754,263920,267605,271131,274818,278042,281127,284242,287535,291946,296765,301366,304989,307863
394692,6,"Houston, TX",Msa,TX,125416,125493,125375,125493,125500,125701,125829,126106,126460,126693,127208,127680,127929,127910,127456,127259,127201,127394,127557,127447,127542,127694,127914,128026,128159,128394,128942,129569,130167,130668,131174,131824,132354,132770,133044,133289,133668,133990,134393,134628,134863,135060,135275,135534,135693,135894,136039,136281,136749,137847,139619,140943,142259,142636,143618,144126,144967,145623,146273,147036,147723,148436,148971,149405,149596,149831,149937,149953,149890,149773,149929,149984,150153,150116,150330,150634,151310,151826,152412,152917,153569,154303,154918,155600,155923,155922,155717,155946,156476,157185,157583,158053,158388,158734,158942,159198,158691,158178,157582,157550,157313,157009,156745,156109,155304,154555,153657,152730,151754,151644,151674,151915,152156,152636,153216,153344,153138,152672,152673,152878,152876,152976,153323,153907,154278,154077,153234,151871,150734,149919,149428,148927,148354,147727,146873,146243,145756,145478,145359,145278,145079,144790,143926,143356,143165,143527,144117,144524,145037,145370,145916,146412,146746,146773,147067,147405,148209,149190,150808,152502,154092,155339,156606,157937,159282,160678,161973,163188,164571,166039,167268,168176,169004,170261,171630,173221,174753,176166,177494,178878,180422,181856,183467,184879,186272,187392,188110,188588,189079,189986,190838,191634,192646,193530,194079,194276,194856,195565,196254,196515,196773,197068,198018,199101,199763,200289,200810,201499,201943,202400,202674,202911,203228,203821,204567,205263,205930,206418,206921,207869,208873,209778,210347,211251,212223,213233,214013,214711,215677,216514,217002,217025,217123,217548,218019,218460,218763,219488,220213,220859,220810,221037,221633,222658,223246,223656,224109,225140,227049,229192,231580,233814,236070,238683,240543,242954,246004,251163,256947,262918,267794
395209,7,"Washington, DC",Msa,DC,192810,193056,193434,194239,195356,196585,198115,199768,201421,203075,204692,206581,208247,209767,211394,213450,215804,218188,220602,223092,225516,227803,230106,232398,234485,236442,238574,241167,244148,247374,250867,254519,257971,261096,263828,266530,268893,271671,274589,277922,281210,284703,288331,291903,295550,299202,302624,305775,308704,312327,316415,321455,327165,333705,341196,348686,356229,362222,367452,372636,378599,384485,390661,398005,406595,414977,422659,429381,435991,441859,446531,450812,454482,458333,462263,465552,468022,468892,469160,468625,466334,463188,460721,459227,457952,456604,455421,454904,453643,450939,447374,443709,440801,437215,433316,428692,424513,419896,414554,408656,401889,395572,388969,382967,376720,371258,366580,362675,358251,353975,349948,346752,344797,343361,341913,340100,338076,336979,336958,338181,339990,340940,342251,343624,345389,345625,344609,342881,341456,340238,338811,337826,337456,338280,338647,338797,337859,337378,336136,335037,333454,332492,332582,332730,333029,333553,335157,336675,337769,338732,339804,340662,341377,342925,345415,348187,351156,353863,356420,358612,360834,362746,364642,366605,369524,372403,375349,377229,379069,381015,382705,383888,383698,383220,382856,382365,382406,382550,383020,383323,383114,383798,384580,384872,384590,384177,383972,383549,383479,384104,384858,385910,386759,387026,387192,387964,389334,390159,390556,390818,391896,392982,394256,395753,397844,400497,401904,402649,402166,402496,402879,404226,405586,407460,409367,410607,411511,412458,414009,415678,417317,418764,419902,420723,421464,422513,423484,425136,426836,428784,430068,430848,431144,431399,431320,432186,433481,435467,437262,438686,439694,440813,442143,444065,445140,446751,449405,453491,458194,462840,467712,472356,476864,481702,487399,494115,501146,508073,513178,516665,518949
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,126917,127384,127802,128626,129303,129991,130711,131471,132277,133068,133928,134853,135740,136691,137832,139106,140577,142060,143806,145741,147768,149833,151596,153255,154736,156186,157551,159054,160637,162316,164094,166137,168052,169889,171498,173579,175636,177794,179977,182308,184725,186912,189070,191314,193755,196149,198496,200539,202896,205084,207598,210102,213381,216984,220911,225042,229196,233284,237055,241190,245138,249461,254137,259329,265182,271416,278365,285059,291507,297095,302018,306429,310844,314739,319170,324752,330222,334931,337702,339625,340662,340919,341460,341394,340866,339971,338045,335677,332670,329526,325788,321701,317252,313513,308720,304174,297774,292128,285182,279385,273034,267661,261317,254410,246994,239660,232994,227063,221581,216848,211860,207384,202556,198749,195272,192432,189805,187980,186575,185071,184169,183727,183830,183530,182787,181314,179868,178278,176908,174936,173340,171903,170563,169321,168213,167499,166509,165390,164249,163559,163191,163104,163223,163324,163732,163800,164260,164687,165514,166373,167294,168652,170361,172089,173579,175177,177374,179951,182748,185665,188441,190633,193135,195816,198968,201918,205536,209062,212486,214777,216887,217908,219424,220602,222531,223985,225518,227170,228226,229693,230888,232685,233777,234988,235941,237174,238188,239411,241010,242500,244455,246244,248215,249768,250980,252235,253597,255507,257503,259243,260551,261938,263576,265458,266944,268253,269089,270336,271580,272936,274144,275740,277206,279011,280096,281588,282505,284215,286043,287653,289375,290858,292599,293698,294558,295331,297256,298940,300607,300787,301337,301748,302033,302562,302873,302995,302923,303514,304279,304709,305464,307544,309506,311160,312193,313035,313683,315065,317406,320190,322757,325826,329164,332226,336190,339964,345695,351939,359289,366852,375082
394347,9,"Atlanta, GA",Msa,GA,153650,154161,154687,155751,156792,157820,158790,159843,160910,162056,163068,164173,165171,166157,166999,167809,168646,169428,170193,170970,171756,172521,173224,173923,174587,175288,175884,176507,177014,177524,177927,178351,178782,179258,179668,180005,180351,180680,181081,181415,181738,182031,182298,182665,183016,183361,183633,183979,184240,184556,184850,185362,185816,186212,186557,187050,187574,188117,188515,188936,189408,189960,190479,191059,191757,192547,193203,193822,194432,195069,195680,196289,196914,197495,197967,198464,198978,199621,200343,200998,201491,201813,202018,202358,202614,202945,203303,203748,204173,204413,204567,204497,204122,203519,202611,201833,200471,199078,197388,196313,195352,194363,193062,191547,189932,188034,185446,182168,178892,176069,173716,171356,169148,167327,166061,165068,163969,162725,161640,160957,160132,159426,158828,158890,158922,158667,157224,155319,152795,150810,148740,146972,145084,143655,142112,140419,138134,136066,134464,133727,133489,133393,133087,131981,131245,130616,131349,132076,133074,134048,135077,135610,135487,135586,136403,137543,138942,140507,142390,144118,146019,147982,149978,152168,154451,156731,158674,160665,162313,163796,164929,166080,167134,168027,169013,169772,170542,171252,172110,173046,173953,174774,175435,176294,177433,178671,179495,180260,181070,181963,182914,183896,185094,186251,187621,189049,190305,191131,191694,192216,192734,193714,194935,196652,197889,199236,200277,201493,202711,204092,205538,206702,208285,209813,211630,213545,215631,217658,219099,220481,221811,223249,224759,226283,227979,229717,231354,232856,233980,235076,236229,237466,238476,238880,239369,240078,241054,241852,242615,243703,244870,246356,247422,248483,249016,249876,251242,253365,256070,259039,262157,265500,268774,272583,276470,281072,286399,293002,300390,307832,315033
