Region,RegionName,StateName,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
Msa,Aberdeen,WA,,,9/30/2022,18.3
Msa,Abilene,TX,,,9/30/2022,11.8
Msa,Ada,OK,,,9/30/2022,13.5
Msa,Adrian,MI,,,9/30/2022,12.6
Msa,Akron,OH,,,9/30/2022,13
Msa,Alamogordo,NM,,,9/30/2022,14
Msa,Albany,NY,,,9/30/2022,12
Msa,Albany,OR,,,9/30/2022,16.5
Msa,Albemarle,NC,,,9/30/2022,10.8
Msa,Albert Lea,MN,,,9/30/2022,14.9
Msa,Albertville,AL,,,9/30/2022,16.7
Msa,Albuquerque,NM,,,9/30/2022,16.4
Msa,Alexandria,LA,,,9/30/2022,6.4
Msa,Alexandria,MN,,,9/30/2022,13.2
Msa,Alice,TX,,,9/30/2022,12
Msa,Allentown,PA,,,9/30/2022,15.8
Msa,Altoona,PA,,,9/30/2022,8.9
Msa,Altus,OK,,,9/30/2022,12.4
Msa,Amarillo,TX,,,9/30/2022,17.3
Msa,Ames,IA,,,9/30/2022,11.9
Msa,Amsterdam,NY,,,9/30/2022,11.7
Msa,Anchorage,AK,,,9/30/2022,8.1
Msa,Ann Arbor,MI,,,9/30/2022,9.2
Msa,Anniston,AL,,,9/30/2022,16.7
Msa,Appleton,WI,,,9/30/2022,13.2
Msa,Ardmore,OK,,,9/30/2022,13.6
Msa,Arkadelphia,AR,,,9/30/2022,11
Msa,Asheville,NC,,,9/30/2022,18.7
Msa,Ashtabula,OH,,,9/30/2022,12.2
Msa,Astoria,OR,,,9/30/2022,29.8
Msa,Athens,GA,,,9/30/2022,13.7
Msa,Athens,OH,,,9/30/2022,14.6
Msa,Athens,TN,,,9/30/2022,12
Msa,Athens,TX,,,9/30/2022,19.7
Msa,Atlanta,GA,,,9/30/2022,23.9
Msa,Atlantic City,NJ,,,9/30/2022,17.8
Msa,Auburn,AL,,,9/30/2022,12.3
Msa,Auburn,IN,,,9/30/2022,15.8
Msa,Auburn,NY,,,9/30/2022,11.5
Msa,Augusta,GA,,,9/30/2022,14.7
Msa,Augusta,ME,,,9/30/2022,15.1
Msa,Austin,MN,,,9/30/2022,13
Msa,Austin,TX,,,9/30/2022,21.9
Msa,Bakersfield,CA,,,9/30/2022,19.1
Msa,Baltimore,MD,,,9/30/2022,10.7
Msa,Bangor,ME,,,9/30/2022,15.7
Msa,Baraboo,WI,,,9/30/2022,13.6
Msa,Bardstown,KY,,,9/30/2022,12.8
Msa,Barnstable Town,MA,,,9/30/2022,20.2
Msa,Barre,VT,,,9/30/2022,18.6
Msa,Bartlesville,OK,,,9/30/2022,11.7
Msa,Bastrop,LA,,,9/30/2022,8.8
Msa,Batavia,NY,,,9/30/2022,12
Msa,Baton Rouge,LA,,,9/30/2022,8.1
Msa,Battle Creek,MI,,,9/30/2022,15.7
Msa,Bay City,MI,,,9/30/2022,14
Msa,Beaumont,TX,,,9/30/2022,9.9
Msa,Beaver Dam,WI,,,9/30/2022,13.4
Msa,Beckley,WV,,,9/30/2022,8.8
Msa,Bellingham,WA,,,9/30/2022,16.8
Msa,Bend,OR,,,9/30/2022,19.7
Msa,Bennettsville,SC,,,9/30/2022,13.8
Msa,Bennington,VT,,,9/30/2022,12.8
Msa,Berlin,NH,,,9/30/2022,15
Msa,Big Stone Gap,VA,,,9/30/2022,10.3
Msa,Billings,MT,,,9/30/2022,13.6
Msa,Binghamton,NY,,,9/30/2022,15.6
Msa,Birmingham,AL,,,9/30/2022,13.2
Msa,Bismarck,ND,,,9/30/2022,8.4
Msa,Blackfoot,ID,,,9/30/2022,14.3
Msa,Bloomington,IL,,,9/30/2022,12.4
Msa,Bloomington,IN,,,9/30/2022,13.8
Msa,Bloomsburg,PA,,,9/30/2022,12.4
Msa,Bluefield,WV,,,9/30/2022,10.8
Msa,Blytheville,AR,,,9/30/2022,12.3
Msa,Bogalusa,LA,,,9/30/2022,10.6
Msa,Boise City,ID,,,9/30/2022,18.6
Msa,Boone,NC,,,9/30/2022,28.7
Msa,Boston,MA,,,9/30/2022,11.4
Msa,Boulder,CO,,,9/30/2022,17.7
Msa,Bowling Green,KY,,,9/30/2022,10.9
Msa,Bozeman,MT,,,9/30/2022,20.3
Msa,Bradford,PA,,,9/30/2022,12.1
Msa,Brainerd,MN,,,9/30/2022,14.9
Msa,Branson,MO,,,9/30/2022,14.1
Msa,Breckenridge,CO,,,9/30/2022,25.5
